"","family","phylum"
"2","Lachnospiraceae","Bacillota"
"3","Lachnospiraceae","Bacillota"
"4","Lachnospiraceae","Bacillota"
"8","Lachnospiraceae","Bacillota"
"10","Lachnospiraceae","Bacillota"
"12","Lachnospiraceae","Bacillota"
"13","Lachnospiraceae","Bacillota"
"22","Bacteroidaceae","Bacteroidota"
"24","Bacteroidaceae","Bacteroidota"
"26","Lachnospiraceae","Bacillota"
"27","Lachnospiraceae","Bacillota"
"28","Lachnospiraceae","Bacillota"
"30","Lachnospiraceae","Bacillota"
"35","Lachnospiraceae","Bacillota"
"36","Lachnospiraceae","Bacillota"
"37","Lachnospiraceae","Bacillota"
"39","Lachnospiraceae","Bacillota"
"44","Lachnospiraceae","Bacillota"
"46","Lachnospiraceae","Bacillota"
"47","Lachnospiraceae","Bacillota"
"48","Lachnospiraceae","Bacillota"
"51","Lachnospiraceae","Bacillota"
"52","Lachnospiraceae","Bacillota"
"53","Lachnospiraceae","Bacillota"
"58","Lachnospiraceae","Bacillota"
"59","Lachnospiraceae","Bacillota"
"63","Lachnospiraceae","Bacillota"
"65","Lachnospiraceae","Bacillota"
"66","Lachnospiraceae","Bacillota"
"71","Lachnospiraceae","Bacillota"
"73","Lachnospiraceae","Bacillota"
"76","Lachnospiraceae","Bacillota"
"77","Lachnospiraceae","Bacillota"
"80","Lachnospiraceae","Bacillota"
"86","Lachnospiraceae","Bacillota"
"88","Lachnospiraceae","Bacillota"
"90","Lachnospiraceae","Bacillota"
"91","Lachnospiraceae","Bacillota"
"93","Lachnospiraceae","Bacillota"
"94","Lachnospiraceae","Bacillota"
"97","Lachnospiraceae","Bacillota"
"98","Lachnospiraceae","Bacillota"
"99","Lachnospiraceae","Bacillota"
"100","Lachnospiraceae","Bacillota"
"101","Lachnospiraceae","Bacillota"
"103","Lachnospiraceae","Bacillota"
"119","Lachnospiraceae","Bacillota"
"122","Lachnospiraceae","Bacillota"
"124","Lachnospiraceae","Bacillota"
"127","Lachnospiraceae","Bacillota"
"133","Ruminococcaceae","Bacillota"
"139","Oscillospiraceae","Bacillota"
"144","Ruminococcaceae","Bacillota"
"146","Ruminococcaceae","Bacillota"
"147","Oscillospiraceae or Lachnospiraceae","Bacillota"
"150","Ruminococcaceae","Bacillota"
"154","Ruminococcaceae","Bacillota"
"165","Ruminococcaceae","Bacillota"
"179","Unknown","Bacillota"
"191","Christensenellaceae","Bacillota"
"193","Oscillospiraceae","Bacillota"
"194","Oscillospiraceae","Bacillota"
"201","Oscillospiraceae","Bacillota"
"202","Christensenellaceae","Bacillota"
"208","Lachnospiraceae","Bacillota"
"211","Lachnospiraceae","Bacillota"
"216","Oscillospiraceae","Bacillota"
"219","Lachnospiraceae","Bacillota"
"221","Unknown","Bacillota"
"224","Christensenellaceae","Bacillota"
"227","Monoglobaceae","Bacillota"
"230","Lachnospiraceae","Bacillota"
"234","Peptococcaceae","Bacillota"
"238","Lachnospiraceae","Bacillota"
"248","Lachnospiraceae","Bacillota"
"259","Lachnospiraceae","Bacillota"
"262","Oscillospiraceae","Bacillota"
"263","Oscillospiraceae","Bacillota"
"271","Lachnospiraceae","Bacillota"
"279","Lachnospiraceae","Bacillota"
"283","Ruminococcaceae","Bacillota"
"288","Christensenellaceae","Bacillota"
"304","Ruminococcaceae","Bacillota"
"306","Erysipelotrichaceae","Bacillota"
"308","Monoglobaceae","Bacillota"
"310","Lachnospiraceae","Bacillota"
"322","Ruminococcaceae","Bacillota"
"323","Oscillospiraceae","Bacillota"
"325","Oscillospiraceae","Bacillota"
"326","Lachnospiraceae","Bacillota"
"332","Lachnospiraceae","Bacillota"
"336","Lachnospiraceae","Bacillota"
"338","Lachnospiraceae","Bacillota"
"341","Ruminococcaceae","Bacillota"
"345","Unknown","Bacillota"
"350","Lachnospiraceae","Bacillota"
"351","Ruminococcaceae","Bacillota"
"352","Butyricicoccaceae","Bacillota"
"368","Oscillospiraceae","Bacillota"
"369","Christensenellaceae","Bacillota"
"379","Oscillospiraceae","Bacillota"
"381","Oscillospiraceae","Bacillota"
"382","Lachnospiraceae","Bacillota"
"383","Oscillospiraceae","Bacillota"
"400","Christensenellaceae or Unknown","Bacillota"
"401","Lachnospiraceae","Bacillota"
"402","Oscillospiraceae","Bacillota"
"403","[Eubacterium] coprostanoligenes group","Bacillota"
"404","Oscillospiraceae","Bacillota"
"415","Clostridiaceae","Bacillota"
"423","Oscillospiraceae","Bacillota"
"426","Ruminococcaceae","Bacillota"
"430","Ruminococcaceae","Bacillota"
"434","Ruminococcaceae","Bacillota"
"440","Unknown","Bacillota"
"461","Lachnospiraceae","Bacillota"
"462","Unknown","Bacillota"
"463","Ruminococcaceae","Bacillota"
"464","Ruminococcaceae","Bacillota"
"466","[Eubacterium] coprostanoligenes group","Bacillota"
"469","Unknown","Bacillota"
"473","Oscillospiraceae","Bacillota"
"487","Ruminococcaceae","Bacillota"
"498","Gastranaerophilaceae","Cyanobacteriota"
"504","Sutterellaceae","Pseudomonadota"
"507","[Eubacterium] coprostanoligenes group","Bacillota"
"512","Butyricicoccaceae","Bacillota"
"525","Ruminococcaceae","Bacillota"
"526","Ruminococcaceae","Bacillota"
"530","Lachnospiraceae","Bacillota"
"532","Butyricicoccaceae","Bacillota"
"540","Lachnospiraceae","Bacillota"
"543","Clostridiaceae","Bacillota"
"551","Ruminococcaceae","Bacillota"
"553","Sutterellaceae","Pseudomonadota"
"562","Desulfovibrionaceae","Thermodesulfobacteriota"
"563","Oscillospiraceae","Bacillota"
"568","Enterococcaceae or Carnobacteriaceae or Unknown","Bacillota"
"570","Ethanoligenenaceae","Bacillota"
"575","Family XI","Bacillota"
"581","Ruminococcaceae","Bacillota"
"587","Oscillospiraceae","Bacillota"
"588","Lactobacillaceae","Bacillota"
"590","Akkermansiaceae","Verrucomicrobiota"
"595","Desulfovibrionaceae","Thermodesulfobacteriota"
"601","Oscillospiraceae","Bacillota"
"606","Lachnospiraceae","Bacillota"
"608","Lactobacillaceae","Bacillota"
"610","Lachnospiraceae","Bacillota"
"613","Oscillospiraceae","Bacillota"
"616","Ruminococcaceae","Bacillota"
"617","Unknown","Bacillota"
"626","Ruminococcaceae","Bacillota"
"648","Desulfovibrionaceae","Thermodesulfobacteriota"
"653","Anaerofustaceae","Bacillota"
"660","Ruminococcaceae","Bacillota"
"668","Ruminococcaceae","Bacillota"
"670","Yersiniaceae or Hafniaceae","Pseudomonadota"
"671","Ruminococcaceae","Bacillota"
"673","Ruminococcaceae","Bacillota"
"674","Pasteurellaceae","Pseudomonadota"
"680","Coriobacteriaceae","Actinomycetota"
"681","Akkermansiaceae","Verrucomicrobiota"
"688","Enterobacteriaceae or Erwiniaceae","Pseudomonadota"
"693","Unknown","Pseudomonadota"
"698","Eggerthellaceae","Actinomycetota"
"704","Leptotrichiaceae","Fusobacteriota"
"708","Bifidobacteriaceae","Actinomycetota"
"711","Unknown","Pseudomonadota"
"714","Campylobacteraceae","Campylobacterota"
"715","Methanomassiliicoccaceae","Thermoplasmatota"
"734","Lachnospiraceae","Bacillota"
"738","Ruminococcaceae","Bacillota"
"740","Bacteroidaceae","Bacteroidota"
"754","Unknown","Unknown"
"767","Rikenellaceae","Bacteroidota"
"774","Porphyromonadaceae","Bacteroidota"
"775","Rikenellaceae","Bacteroidota"
"782","Rikenellaceae","Bacteroidota"
"785","Rikenellaceae","Bacteroidota"
"788","Rikenellaceae","Bacteroidota"
"804","Prevotellaceae","Bacteroidota"
"806","Rikenellaceae","Bacteroidota"
"816","Prevotellaceae","Bacteroidota"
"823","Barnesiellaceae","Bacteroidota"
"832","Prevotellaceae","Bacteroidota"
"836","Barnesiellaceae","Bacteroidota"
"841","Barnesiellaceae","Bacteroidota"
"845","Bacteroidaceae","Bacteroidota"
"854","Tannerellaceae","Bacteroidota"
"859","Tannerellaceae","Bacteroidota"
"861","Bacteroidaceae","Bacteroidota"
"862","Bacteroidaceae","Bacteroidota"
"863","Tannerellaceae","Bacteroidota"
"865","Tannerellaceae","Bacteroidota"
"871","Bacteroidaceae","Bacteroidota"
"875","Bacteroidaceae","Bacteroidota"
"880","Tannerellaceae or Unknown","Bacteroidota"
"882","Tannerellaceae","Bacteroidota"
"883","Bacteroidaceae","Bacteroidota"
"886","Tannerellaceae","Bacteroidota"
"890","Bacteroidaceae","Bacteroidota"
"901","Tannerellaceae","Bacteroidota"
"906","Bacteroidaceae","Bacteroidota"
"907","Tannerellaceae","Bacteroidota"
"911","Ruminococcaceae","Bacillota"
"913","Anaerovoracaceae","Bacillota"
"919","Anaerovoracaceae","Bacillota"
"921","Anaerovoracaceae","Bacillota"
"937","Ruminococcaceae","Bacillota"
"943","Anaerovoracaceae","Bacillota"
"955","Ruminococcaceae","Bacillota"
"958","Ruminococcaceae","Bacillota"
"967","Erysipelotrichaceae","Bacillota"
"970","Peptostreptococcaceae","Bacillota"
"972","Peptostreptococcaceae","Bacillota"
"974","Veillonellaceae","Bacillota"
"979","Erysipelotrichaceae","Bacillota"
"981","Ruminococcaceae","Bacillota"
"983","Ruminococcaceae","Bacillota"
"984","Veillonellaceae","Bacillota"
"987","Erysipelotrichaceae","Bacillota"
"989","Erysipelatoclostridiaceae","Bacillota"
"991","Peptostreptococcaceae","Bacillota"
"1008","Erysipelotrichaceae","Bacillota"
"1011","Veillonellaceae","Bacillota"
"1015","Ruminococcaceae","Bacillota"
"1019","Ruminococcaceae","Bacillota"
"1022","Erysipelatoclostridiaceae","Bacillota"
"1023","Streptococcaceae","Bacillota"
"1025","Acidaminococcaceae","Bacillota"
"1030","Peptostreptococcaceae","Bacillota"
"1060","Streptococcaceae","Bacillota"
"1070","Eggerthellaceae","Actinomycetota"
"1077","Streptococcaceae","Bacillota"
"1078","Eggerthellaceae","Actinomycetota"
"1080","Eggerthellaceae","Actinomycetota"
"1086","Coriobacteriales Incertae Sedis","Actinomycetota"
"1088","Eggerthellaceae","Actinomycetota"
"1090","Eggerthellaceae","Actinomycetota"
"1091","Eggerthellaceae","Actinomycetota"
"1096","Marinifilaceae","Bacteroidota"
"1101","Marinifilaceae","Bacteroidota"
